number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,booking status,reservation_month,reservation_dayofweek,total_nights,price_per_night,is_family,total_guests,weekend_share,previous_bookings,previous_cancel_ratio,has_special_requests,Booking_ID
2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,1,11,0,5,10.625,0,2,0.3333333333333333,0,0.0,0,INN00039
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,1,7,0,3,30.45,0,2,0.5,0,0.0,1,INN00040
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,0,11,3,4,18.72,0,2,0.0,0,0.0,1,INN00041
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,0,6,3,2,34.0,0,2,0.0,0,0.0,1,INN00042
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,0,4,1,3,30.45,0,3,0.5,0,0.0,1,INN00043
2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,1,6,2,2,32.699999999999996,0,2,0.3333333333333333,0,0.0,1,INN00044
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,0,11,5,4,12.0,0,2,0.0,0,0.0,1,INN00045
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,0,12,4,3,18.75,0,2,0.0,0,0.0,0,INN00046
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,0,11,0,2,24.333333333333332,0,1,0.0,0,0.0,0,INN00047
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,0,4,4,1,52.0,0,2,0.0,0,0.0,0,INN00048
2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,0,11,3,4,15.84,0,2,0.0,0,0.0,1,INN00049
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,0,12,5,4,25.16,0,1,0.2,0,0.0,1,INN00050
1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,0,5,2,7,10.99375,0,1,0.25,0,0.0,0,INN00051
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,1,4,6,4,21.2,0,2,0.4,0,0.0,0,INN00052
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,0,5,2,3,34.1675,0,1,0.25,0,0.0,1,INN00053
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,0,11,5,4,12.0,0,2,0.0,0,0.0,1,INN00054
2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,0,6,2,1,44.5,0,2,0.5,0,0.0,1,INN00055
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,0,5,5,4,27.2,0,2,0.2,0,0.0,1,INN00056
2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,0,7,5,1,47.25,0,2,0.0,0,0.0,1,INN00057
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,0,12,2,3,23.4,0,2,0.25,0,0.0,1,INN00058
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,1,4,4,5,20.099999999999998,0,2,0.16666666666666666,0,0.0,0,INN00059
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,0,4,4,3,24.825,0,2,0.0,0,0.0,1,INN00060
2,2,0,1,Meal Plan 1,1,Room_Type 6,2,Online,0,0,0,258.0,1,0,9,6,1,129.0,1,4,0.0,0,0.0,1,INN00061
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,0,5,3,3,30.03,0,1,0.0,0,0.0,1,INN00062
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,0,6,6,2,31.666666666666668,0,1,0.0,0,0.0,0,INN00063
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0,0,0.0,1,0,9,6,1,0.0,0,1,0.0,0,0.0,1,INN00064
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,0,12,1,3,18.75,0,2,0.5,0,0.0,0,INN00065
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,0,10,4,3,39.375,0,2,0.0,0,0.0,1,INN00066
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,0,6,6,2,32.56666666666667,0,2,0.0,0,0.0,1,INN00067
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142.0,0,1,4,6,2,47.333333333333336,0,2,0.0,0,0.0,0,INN00068
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80.0,0,0,4,4,1,40.0,0,2,0.0,0,0.0,0,INN00069
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,0,4,2,3,21.375,0,2,0.25,0,0.0,1,INN00070
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100.0,0,0,8,5,3,25.0,0,2,0.0,0,0.0,0,INN00071
2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,0,11,2,1,44.0,0,2,0.5,0,0.0,1,INN00072
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,0,8,2,2,40.949999999999996,0,2,0.3333333333333333,0,0.0,1,INN00073
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100.0,0,1,6,6,2,33.333333333333336,0,2,0.0,0,0.0,0,INN00074
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75.0,0,0,10,2,5,12.5,0,2,0.3333333333333333,0,0.0,0,INN00075
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,0,3,4,5,19.466666666666665,0,2,0.16666666666666666,0,0.0,1,INN00076
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,0,12,0,2,40.5,0,3,0.3333333333333333,0,0.0,0,INN00077
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,0,6,2,3,27.975,0,2,0.25,0,0.0,1,INN00078
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,1,6,3,7,15.19375,0,3,0.25,0,0.0,1,INN00079
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,1,0,3,3,5,12.5,0,2,0.0,0,0.0,1,INN00080
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,1,4,6,2,53.1,1,4,0.0,0,0.0,0,INN00081
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,1,10,3,5,22.05,0,2,0.0,0,0.0,0,INN00082
2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,0,12,1,2,29.333333333333332,0,2,0.6666666666666666,0,0.0,1,INN00083
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,0,3,2,5,16.47,0,2,0.16666666666666666,0,0.0,0,INN00084
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,0,3,6,3,24.575,0,2,0.25,0,0.0,1,INN00085
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,0,10,2,1,75.0,0,1,0.5,0,0.0,1,INN00086
2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,0,9,1,5,16.008333333333333,0,2,0.3333333333333333,0,0.0,1,INN00087
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130.0,0,1,6,4,2,43.333333333333336,0,1,0.0,0,0.0,0,INN00088
2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,0,12,0,1,47.5,0,2,0.0,5,0.0,0,INN00089
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,0,8,3,3,28.39,0,2,0.0,0,0.0,0,INN00090
2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,0,5,5,4,20.316,0,2,0.2,0,0.0,1,INN00091
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,0,3,6,3,26.325,0,2,0.25,0,0.0,0,INN00092
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,0,4,0,3,28.95,0,2,0.5,0,0.0,1,INN00093
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,0,5,5,1,74.7,0,2,0.0,0,0.0,1,INN00094
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,1,8,3,7,13.94875,0,2,0.25,0,0.0,0,INN00095
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,0,8,5,2,43.5,1,3,0.0,0,0.0,1,INN00096
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115.0,1,1,8,5,2,38.333333333333336,0,2,0.0,0,0.0,1,INN00097
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,0,4,4,4,18.19,0,2,0.0,0,0.0,1,INN00098
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,0,11,5,3,19.02,0,2,0.0,0,0.0,1,INN00099
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,0,12,5,4,31.380000000000003,1,4,0.2,0,0.0,0,INN00100
2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,0,10,1,1,42.75,0,2,0.5,0,0.0,1,INN00101
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,0,5,6,3,39.825,0,3,0.25,0,0.0,1,INN00102
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,0,12,3,4,14.959999999999999,0,1,0.0,0,0.0,1,INN00103
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95.0,1,0,10,1,1,47.5,0,2,0.0,0,0.0,1,INN00104
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107.0,1,0,10,6,3,26.75,0,2,0.0,0,0.0,1,INN00105
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64.0,0,0,2,4,3,16.0,0,2,0.0,0,0.0,0,INN00106
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,0,11,3,5,13.825000000000001,0,2,0.16666666666666666,0,0.0,0,INN00107
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155.0,1,0,9,3,4,31.0,0,2,0.2,0,0.0,1,INN00108
2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,0,6,5,1,50.84,0,2,0.0,0,0.0,1,INN00109
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,0,9,1,3,23.625,0,2,0.5,0,0.0,1,INN00110
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,1,9,6,2,39.300000000000004,0,2,0.0,0,0.0,1,INN00111
2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127.0,1,0,6,2,1,63.5,0,2,0.5,0,0.0,1,INN00112
2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,0,6,5,3,29.025,0,2,0.0,0,0.0,1,INN00113
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,0,6,5,5,19.650000000000002,0,2,0.3333333333333333,0,0.0,1,INN00114
2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,1,6,1,4,36.848,1,4,0.4,0,0.0,1,INN00115
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,0,8,0,4,31.139999999999997,0,3,0.4,0,0.0,1,INN00116
3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,1,4,6,7,16.97,0,3,0.25,0,0.0,0,INN00117
2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,0,11,0,7,12.85375,1,3,0.25,0,0.0,1,INN00118
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65.0,0,1,4,6,1,32.5,0,2,0.0,0,0.0,0,INN00119
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103.0,1,0,11,1,5,17.166666666666668,0,2,0.3333333333333333,0,0.0,1,INN00120
2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,1,9,5,3,26.55,0,2,0.0,0,0.0,1,INN00121
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,0,9,6,2,19.5,0,2,0.0,0,0.0,0,INN00122
2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,1,3,5,4,14.790000000000001,0,2,0.2,0,0.0,0,INN00123
2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,0,5,5,3,26.325,0,2,0.0,0,0.0,0,INN00124
3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,0,4,1,2,44.4,0,3,0.6666666666666666,0,0.0,1,INN00125
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,0,3,4,2,28.5,0,2,0.0,0,0.0,0,INN00126
1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112.0,1,1,11,5,1,56.0,0,1,0.0,0,0.0,1,INN00127
2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,1,10,6,2,63.6,1,4,0.0,0,0.0,0,INN00128
1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110.0,0,0,6,1,5,18.333333333333332,0,1,0.3333333333333333,0,0.0,0,INN00129
2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,0,7,4,5,15.246666666666668,0,2,0.16666666666666666,0,0.0,1,INN00130
2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135.0,2,0,10,5,2,45.0,0,2,0.0,0,0.0,1,INN00131
1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129.0,2,0,10,2,3,32.25,0,1,0.25,0,0.0,1,INN00132
2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,1,12,4,6,10.078571428571427,0,2,0.2857142857142857,0,0.0,1,INN00133
2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75.0,0,0,10,3,5,12.5,0,2,0.16666666666666666,0,0.0,0,INN00134
1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,0,3,3,4,14.45,0,1,0.0,0,0.0,0,INN00135
2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155.0,2,0,10,0,1,77.5,0,2,0.0,0,0.0,1,INN00136
2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,1,7,2,1,60.75,1,3,0.5,0,0.0,1,INN00137
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,0,6,3,7,11.36875,0,2,0.25,0,0.0,1,INN00138
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,0,5,1,4,21.93,0,1,0.4,0,0.0,0,INN00139
3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,1,4,6,6,20.388571428571428,0,3,0.2857142857142857,0,0.0,0,INN00140
1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90.0,0,0,5,2,3,22.5,0,1,0.25,0,0.0,0,INN00141
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75.0,0,1,6,6,2,25.0,0,2,0.0,0,0.0,0,INN00142
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111.0,1,1,11,6,2,37.0,0,2,0.0,0,0.0,1,INN00143
2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,0,10,1,4,17.34,0,2,0.4,0,0.0,1,INN00144
2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,0,3,2,1,58.95,0,2,0.5,0,0.0,1,INN00145
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,0.0,1,0,6,4,2,0.0,0,1,0.0,8,0.3333333333333333,1,INN00146
2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,0,5,4,4,20.316,0,2,0.0,0,0.0,1,INN00147
2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,0,4,6,3,14.725,0,2,0.25,0,0.0,1,INN00148
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120.0,0,0,6,4,1,60.0,0,2,0.0,0,0.0,0,INN00149
2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,1,4,5,5,17.849999999999998,0,2,0.3333333333333333,0,0.0,0,INN00150
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,0,5,2,2,42.300000000000004,0,2,0.3333333333333333,0,0.0,1,INN00151
2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,1,9,5,3,34.875,0,2,0.0,0,0.0,1,INN00152
2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,0,4,2,4,16.15,0,2,0.2,0,0.0,1,INN00153
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109.0,0,1,7,0,2,36.333333333333336,0,2,0.0,0,0.0,0,INN00154
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65.0,1,0,11,3,3,16.25,0,1,0.0,6,0.14285714285714285,1,INN00156
2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,0,5,3,3,35.1,0,2,0.0,0,0.0,0,INN00157
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,0,2,5,3,18.75,0,2,0.0,0,0.0,0,INN00158
2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,1,4,5,1,47.25,0,2,0.0,0,0.0,0,INN00159
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109.0,0,0,6,1,1,54.5,0,2,0.5,0,0.0,0,INN00160
2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105.0,2,0,11,0,4,21.0,0,2,0.4,0,0.0,1,INN00161
2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,0,4,1,4,21.59,0,2,0.4,0,0.0,1,INN00162
3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,0,10,6,4,43.12,0,3,0.4,0,0.0,1,INN00163
2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,0,8,2,2,28.5,0,2,0.3333333333333333,0,0.0,1,INN00164
2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,0,7,3,2,35.1,0,2,0.0,0,0.0,1,INN00165
1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1.0,0,0,1,1,3,0.25,0,1,0.5,0,0.0,0,INN00166
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156.0,0,1,6,4,2,52.0,0,2,0.0,0,0.0,0,INN00167
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,0,11,4,2,24.383333333333336,0,1,0.0,0,0.0,1,INN00168
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110.0,0,1,9,2,3,27.5,0,2,0.25,0,0.0,0,INN00169
2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,0,9,2,1,43.7,1,3,0.5,0,0.0,1,INN00170
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120.0,0,1,9,5,2,40.0,0,2,0.0,0,0.0,0,INN00171
2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,1,12,6,3,19.8,0,2,0.25,0,0.0,0,INN00172
2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,0,6,5,4,18.19,0,2,0.2,0,0.0,1,INN00173
2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,0,10,3,4,18.296,0,2,0.0,0,0.0,1,INN00174
2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,1,11,0,1,75.0,1,3,0.0,0,0.0,1,INN00175
2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89.0,0,0,3,3,1,44.5,0,2,0.0,0,0.0,0,INN00176
